,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
241,392,Burundi Gacokwe,Process Washed Sub Region Rango Kayanza Harvest Time Apr-Jun 17 Varietal Bourbon Mibirizi Elevation 1650 - 1650,Process Washed,Harvest Time Apr-Jun 17,Sub Region Rango Kayanza,Varietal Bourbon Mibirizi ,Elevation 1650 - 1650,
242,278,Colombia Las Brisas,Process Washed Sub Region Rioblanco Tolima Producer ASOQUEBRADON Growers Association Varietal Caturra Bourbon Typica Castillo Colombia Elevation 1500 - 1900,Process Washed,,Sub Region Rioblanco Tolima,Varietal Caturra Bourbon Typica Castillo Colombia,Elevation 1500 - 1900,Producer ASOQUEBRADON Growers Association
243,347,Decaf Colombia Los Idolos,Process Washed Sub Region San Agustin Huila Producer Several Growers Associations in Huila Harvest Time march-june Varietal Caturra,Process Washed,Harvest Time march-june,Sub Region San Agustin Huila,Varietal Caturra,,Producer Several Growers Associations in Huila
244,181,Guatemala Flora Ramos,Process Washed Sub Region San Antonio Huista Huehuetenango Producer Flora Ramos Harvest Time December-March Varietal Caturra Elevation 1500 - 1600,Process Washed,Harvest Time December-March,Sub Region San Antonio Huista Huehuetenango,Varietal Caturra,Elevation 1500 - 1600,Producer Flora Ramos
245,1,Costa Rica Santa Maria,Process Washed Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L. Varietal Catuaí Caturra Elevation 1500 - 1900,Process Washed,,Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L.,Varietal Catuaí Caturra,Elevation 1500 - 1900,
246,192,"El Pilar, Guatemala",Process Washed Sub Region San Juan Sacatepéquez Producer Juan Carlos Chen Harvest Time January-April Varietal Bourbon Caturra Catuaí Elevation 1500 - 2000,Process Washed,Harvest Time January-April,Sub Region San Juan Sacatepéquez,Varietal Bourbon Caturra Catuaí,Elevation 1500 - 2000,Producer Juan Carlos Chen
247,68,"Hacienda Carmona, Guatemala",Process Washed Sub Region San Juan del Obispo Sacatepequez Producer Maria Zelaya Harvest Time Spring 2018 Elevation 1580,Process Washed,Harvest Time Spring 2018,Sub Region San Juan del Obispo Sacatepequez,,Elevation 1580,Producer Maria Zelaya
248,349,02 Filter,Process Washed Sub Region San Lorenzo; Oromia Jimma Zone Gome District Producer Gabriel Alarcon; 210 Smallholder Farmers Varietal Colombia Castillo Caturra Ethiopia Heirloom Elevation 1980,Process Washed,,Sub Region San Lorenzo; Oromia Jimma Zone Gome District,Varietal Colombia Castillo Caturra Ethiopia Heirloom,Elevation 1980,Producer Gabriel Alarcon; 210 Smallholder Farmers
249,276,La Colina Guatemala,Process Washed Sub Region San Martín Jilotepeque Chimaltenango Producer Antonio Medina Varietal Bourbon and Caturra Elevation 1700 - 1700,Process Washed,,Sub Region San Martín Jilotepeque Chimaltenango,Varietal Bourbon and Caturra,Elevation 1700 - 1700,Producer Antonio Medina
250,105,Decaf Colombia Aguacate,Process Washed Sub Region Sandoná Nariño Producer 30 members of the “Asociación Creciendo con el Campo” Harvest Time May - July 2017 Varietal Caturra Elevation 1700 - 2100,Process Washed,Harvest Time May - July 2017,Sub Region Sandoná Nariño,Varietal Caturra,Elevation 1700 - 2100,Producer 30 members of the “Asociación Creciendo con el Campo”
251,173,El Salvador Finca Manzano,Process Washed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time November 2017 - March 2018 Varietal Caturra Elevation 1300 - 1550,Process Washed,Harvest Time November 2017 - March 2018,Sub Region Santa Ana,Varietal Caturra,Elevation 1300 - 1550,Producer Emilio Lopez Diaz
252,208,"Santa Julia, El Salvador",Process Washed Sub Region Santa Ana Producer Salaverria Family Varietal Pacas Bourbon Elevation 1545,Process Washed,,Sub Region Santa Ana,Varietal Pacas Bourbon,Elevation 1545,Producer Salaverria Family
253,456,"Los Yoyos, Honduras",Process Washed Sub Region Santa Barbara Producer Eulogio Martinez Harvest Time January-June 2017 Varietal Parainema Elevation 1400 - 1400,Process Washed,Harvest Time January-June 2017,Sub Region Santa Barbara,Varietal Parainema,Elevation 1400 - 1400,Producer Eulogio Martinez
254,426,Honduras Gerard Trejo,Process Washed Sub Region Santa Barbara Producer Gerardo Trejo Harvest Time March 2018 Elevation 1500,Process Washed,Harvest Time March 2018,Sub Region Santa Barbara ,,Elevation 1500,Producer Gerardo Trejo
255,452,"Mario Moreno 2017, Honduras",Process Washed Sub Region Santa Barbara Producer Mario Moreno Harvest Time January-June 2017 Varietal Bourbon Elevation 1550 - 1550,Process Washed,Harvest Time January-June 2017,Sub Region Santa Barbara ,Varietal Bourbon,Elevation 1550 - 1550,Producer Mario Moreno
256,463,Six One Six Blend,Process Washed Sub Region Santa Barbara Honduras; Tarrazú Costa Rica Elevation 1700,Process Washed,,Sub Region Santa Barbara Honduras; Tarrazú Costa Rica,,Elevation 1700,
257,86,La Perla de Oaxaca Organic Mexico,Process Washed Sub Region Santa Cruz Itundujia Oaxaca Producer Café San José Zaragoza | CEPCO Harvest Time December 2017 - March 2018 Varietal Bourbon Typica Mundo Novo,Process Washed,Harvest Time December 2017 - March 2018,Sub Region Santa Cruz Itundujia Oaxaca,Varietal Bourbon Typica Mundo Novo,,Producer Café San José Zaragoza | CEPCO
258,373,Guatemala Finca Nuevo Vinas,Process Washed Sub Region Santa Rosa Producer Keller Harvest Time December - February Varietal Caturra Catual Pacamara Elevation 1200 - 1500,Process Washed,Harvest Time December - February ,Sub Region Santa Rosa ,Varietal Caturra Catual Pacamara,Elevation 1200 - 1500,Producer Keller 
259,420,"Miramundo, Guatemala",Process Washed Sub Region Santa Rosa Varietal Bourbon & Typica,Process Washed,,Sub Region Santa Rosa,Varietal Bourbon & Typica,,
260,354,Colombia La Pradera,Process Washed Sub Region Santander Producer Hacienda La Pradera Harvest Time October 2017 Varietal Castilla caturra colombia Elevation 1750 - 1950,Process Washed,Harvest Time October 2017 ,Sub Region Santander,Varietal Castilla caturra colombia ,Elevation 1750 - 1950,Producer Hacienda La Pradera
261,30,Ethiopia Bokasso,Process Washed Sub Region Sidama Harvest Time Dec-March 2017-2018 Varietal Heirloom Elevation 1900 - 2000,Process Washed,Harvest Time Dec-March 2017-2018,Sub Region Sidama,Varietal Heirloom,Elevation 1900 - 2000,
262,115,Ethiopia Bensa Shantawene,Process Washed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300,Process Washed,Harvest Time November through February,Sub Region Sidama ,Varietal Mikicho Setami Heirloom,Elevation 2000 - 2300,
263,307,Shilicho Ethiopia,Process Washed Sub Region Sidama Varietal Heirloom Elevation 1800 - 1800,Process Washed,,Sub Region Sidama,Varietal Heirloom,Elevation 1800 - 1800,
264,170,Ethiopia Kercha,Process Washed Sub Region Sidamo Varietal Heirloom Elevation 2000 - 2100,Process Washed,,Sub Region Sidamo,Varietal Heirloom,Elevation 2000 - 2100,
265,429,Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500,Process Washed,,Sub Region Sidamo Guji Zone,Varietal Local Heirloom Varieties,Elevation 6000 - 6500,Producer Ato Haile Gebre
266,419,Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500,Process Washed,,Sub Region Sidamo Guji Zone,Varietal Local Heirloom Varieties,Elevation 6000 - 6500,Producer Ato Haile Gebre
267,384,Mexico Sierra Sur,Process Washed Sub Region Sierra Sur Varietal Arabica Elevation 1700 - 1900,Process Washed,,Sub Region Sierra Sur,Varietal Arabica,Elevation 1700 - 1900,
268,433,El Salvador Natamaya,Process Washed Sub Region Sonsonate Department Producer Hermann and Nena Mendez Varietal Bourbon Elevation 1400 - 1550,Process Washed,Varietal Bourbon,Sub Region Sonsonate Department,,Elevation 1400 - 1550,Producer Hermann and Nena Mendez
