,name,extra,process,sub region,varietal,elevation,harvest time,producer
15,Ethiopia Bensa Shantawene Natural,Process Natural/Dry Processed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300,Process Natural/Dry Processed,Sub Region Sidama,Varietal Mikicho Setami Heirloom,Elevation 2000 - 2300,Harvest Time November through February,
16,Costa Rica Perla Negra Natural,Process Natural/Dry Processed Sub Region Sabanilla de Alajuela Central Valley Producer Oscar and Francisca Chacon Varietal Various Elevation 1450,Process Natural/Dry Processed,Sub Region Sabanilla de Alajuela Central Valley,Varietal Various,Elevation 1450,,Producer Oscar and Francisca Chacon
17,Gotham,Process Washed Sub Region Ahuachapán Producer The Salaverria family Varietal Bourbon Catuai Elevation 1350,Process Washed,Sub Region Ahuachapán,Varietal Bourbon Catuai,Elevation 1350,,Producer The Salaverria family
19,French Roast,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
20,Brasil,Process Pulped Natural Sub Region Carmo de Minas Varietal Yellow bourbon,Process Pulped Natural,Sub Region Carmo de Minas,Varietal Yellow bourbon,,,
21,Le Corbusier French Roast,"['Process', 'Natural/Dry', 'Processed']","['Process', 'Natural/Dry', 'Processed']",,,,,
22,Flying Monkey Espresso,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
23,Virgil's,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']",,"['Varietal', 'Bourbon']",,,
24,Ethiopia Sidama Ardi,Process Natural/Dry Processed Sub Region Guji Borena Hagermariam District Producer Nardos Coffee Varietal Heirloom Elevation 1750 - 1800,Process Natural/Dry Processed,Sub Region Guji Borena Hagermariam District,Varietal Heirloom,Elevation 1750 - 1800,,Producer Nardos Coffee
25,Eclipse,"['Process', 'Washed', 'Varietal', 'Caturra', 'and', 'Heirloom']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'and', 'Heirloom']",,,
26,El Socorro Maracaturra,Process Washed Sub Region Guatemala Department Producer Juan Diego de la Cerda Varietal Maracaturra Elevation 1750 - 1750,Process Washed,Sub Region Guatemala Department,Varietal Maracaturra,Elevation 1750 - 1750,,Producer Juan Diego de la Cerda
27,Tarrazu,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890,Process Washed,Sub Region Tarrazu,Varietal Caturra Catuai,Elevation 1190 - 1890,Harvest Time January 2018,
28,Buffalo Blend,Process Washed Natural/Dry Processed Sub Region Acatenango Varietal Bourbon,Process Washed Natural/Dry Processed,Sub Region Acatenango,Varietal Bourbon,,,
29,Theo Blend,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Elevation', '1500']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica'",", 'Elevation', '1500']",,
30,Ethiopia Bokasso,Process Washed Sub Region Sidama Harvest Time Dec-March 2017-2018 Varietal Heirloom Elevation 1900 - 2000,Process Washed,Sub Region Sidama,Varietal Heirloom,Elevation 1900 - 2000,Harvest Time Dec-March 2017-2018,
31,Oktoberfest,Process Washed Elevation 1750,Process Washed,,,Elevation 1750,,
32,Darkness,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']",,"['Varietal', 'Bourbon']",,,
33,Kenya Gaturiri,Process Washed Sub Region Central Kenya Nyeri Producer Barichu Cooperative Society Harvest Time November - February Varietal SL-28 SL-24 Elevation 1750 - 1750,Process Washed,Sub Region Central Kenya Nyeri Producer Barichu Cooperative Society,Varietal SL-28 SL-24,Elevation 1750 - 1750,Harvest Time November - February ,
34,Bauhaus,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
35,"Party, Ethiopia",Process Natural/Dry Processed Sub Region Kore Kochere Producer Boji Washing Station Harvest Time December 2017 - January 2018 Varietal Heirloom Elevation 1800 - 1900,Process Natural/Dry Processed,Sub Region Kore Kochere,Varietal Heirloom,Elevation 1800 - 1900,Harvest Time December 2017 - January 2018,Producer Boji Washing Station
36,Zip Zinger,Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,Varietal Various,,,
37,Ethiopia Ardi,Process Natural/Dry Processed Sub Region Kilenso Mokonisa Sidama Producer Various Smallholders Israel Degefa Wet Mill Varietal Ethiopian Heirloom Elevation 1800 - 2100,Process Natural/Dry Processed,Sub Region Kilenso Mokonisa Sidama,Varietal Ethiopian Heirloom,Elevation 1800 - 2100,,Producer Various Smallholders Israel Degefa Wet Mill
38,Costa Rica,Process Washed Sub Region West Valley Varietal Caturra Elevation 1400 - 1600,Process Washed,Sub Region West Valley,Varietal Caturra,Elevation 1400 - 1600,,
39,Monarch Blend,"['Process', 'Washed', 'Varietal', 'Caturra', 'Ethiopia', 'Heirloom', 'Elevation', '2000']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Ethiopia', 'Heirloom',",,,
40,Buena Vista,Process Washed Sub Region Cauca Producer Various Harvest Time December - April Elevation 1700,Process Washed,Sub Region Cauca,,Elevation 1700,Harvest Time December - April,Producer Various
41,Organic Radio Wave,Process Washed Sub Region Tolima Harvest Time September 2017 Varietal Typica Bourbon Caturra Colombia Elevation 1450,Process Washed,Sub Region Tolima,Varietal Typica Bourbon Caturra Colombia,Elevation 1450,Harvest Time September 2017 ,
42,Onyx Cold Brew,Process Washed Sub Region Antioquia Varietal Caturra Typica Bourbon Elevation 1600 - 1650,Process Washed,Sub Region Antioquia,Varietal Caturra Typica Bourbon,Elevation 1600 - 1650,,
43,Conscientious Objector,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
44,Kenya Gichugene,Process Washed Sub Region Meru Producer Katheri Farmer Coop Harvest Time Jan 2018 - March 2018 Elevation 1650,Process Washed,Sub Region Meru,,Elevation 1650,Harvest Time Jan 2018 - March 2018,Producer Katheri Farmer Coop
45,Limited Release Nicaragua El Esfuerzo CoE,Process Washed Sub Region Jinotega Producer Ignacio Estrada Burgo Harvest Time 2018 Varietal Maracaturra Elevation 1300 - 1400,Process Washed,Sub Region Jinotega,Varietal Maracaturra,Elevation 1300 - 1400,Harvest Time 2018,Producer Ignacio Estrada Burgo
46,Four Leftys,Process Washed Harvest Time January-February 2017,Process Washed,,,,Harvest Time January-February 2017,
47,Guatemala La Maravilla El Aguacate,Process Washed Sub Region Huehuetenango Producer Mauricio Rosales Harvest Time Spring 2018 Varietal Bourbon Caturra Elevation 1700,Process Washed,Sub Region Huehuetenango ,Varietal Bourbon Caturra,Elevation 1700,Harvest Time Spring 2018,Producer Mauricio Rosales
48,Brazil Klatch Diamond Reserve,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Red', 'Bourbon']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Red', 'Bourbon']",,,
49,La Familia Guarnizo,Process Washed Sub Region Huila Producer Guarnizo Family Harvest Time April-July October-December Varietal Caturra Elevation 1600 - 1800,Process Washed,Sub Region Huila,Varietal Caturra,Elevation 1600 - 1800,Harvest Time April-July October-December,Producer Guarnizo Family
50,Organic Espresso,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,Varietal Bourbon Typica,Elevation 1200,,
51,Sugar Cane Decaf,Process Washed Sub Region Tolima Harvest Time Late Summer Early Autumn Varietal Mixed Elevation 1400 - 1800,Process Washed,Sub Region Tolima,Varietal Mixed,Elevation 1400 - 1800,Harvest Time Late Summer Early Autumn,
52,Gedeb Alemu,Process Washed Sub Region Yirgacheffe Producer Gedeb Alemu Varietal Ethiopia Heirloom Elevation 1900 - 2100,Process Washed,Sub Region Yirgacheffe,Varietal Ethiopia Heirloom,Varietal Ethiopia Heirloom Elevation 1900 - 2100,,Producer Gedeb Alemu
53,Union Blend,Process Washed Sub Region Huehuetenango Sierra Madre de Chiapas Varietal Caturra Catuai Bourbon Pache Typica Mundo Novo Elevation 1000,Process Washed,Sub Region Huehuetenango Sierra Madre de Chiapas,Varietal Caturra Catuai Bourbon Pache Typica Mundo Novo,Elevation 1000,,
54,"Santa Tereza, Costa Rica",Process Washed Sub Region Dota Varietal red & yellow catuaí,Process Washed,Sub Region Dota,Varietal red & yellow catuaí,,,
57,Creamery Seasonal Blend,Process Washed Sub Region Huehuetenango Tarrazu Kirinyaga Producer Ernesto Perez and family Rolando Esquivel Bararantes and Family various small holders Harvest Time March 2017 Varietal Bourbon Caturra Maragogipe Red Catuia SL-28 and SL-34 Elevation 1600,Process Washed,Sub Region Huehuetenango Tarrazu Kirinyaga,Varietal Bourbon Caturra Maragogipe Red Catuia SL-28 and SL-34,Elevation 1600,Harvest Time March 2017,Producer Ernesto Perez and family Rolando Esquivel Bararantes and Family various small holders Harvest Time March 2017 Varietal Bourbon Caturra Maragogipe Red Catuia SL-28 and SL-34 Elevation 1600
58,Diesel Dark Roast,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Catuai', 'Catimor', 'Elevation', '1300']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica', 'Catuai', 'Catimor',",", 'Elevation', '1300']",,
59,Tarrazu Espresso,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890,Process Washed,Sub Region Tarrazu,Varietal Caturra Catuai,Elevation 1190 - 1890,Harvest Time January 2018,
61,Organic Full Spectrum,Process Washed Sub Region Jacaltenango Producer Rio Azul Cooperative Harvest Time May 2017 Varietal Typica Caturra Castillo Elevation 1500,Process Washed,Sub Region Jacaltenango,Varietal Typica Caturra Castillo,Elevation 1500,Harvest Time May 2017,Producer Rio Azul Cooperative
62,Cold Brew,"['Process', 'Washed', 'Varietal', 'Varies', 'with', 'season', 'Elevation', '1200']","['Process', 'Washed']",,"['Varietal', 'Varies', 'with', 'season',","Elevation', '1200']",,
