,name,extra,process,sub region,varietal,elevation,harvest time,producer
320,Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650,Process Washed,Sub Region Los Yungas,Varietal Red Caturra,Elevation 1600 - 1650,Harvest Time October 2017,Producer Pedro and Daniela Rodriguez
321,Brazil,Process Pulped Natural Sub Region Patos de Minas Producer Wagner Ferrero Varietal Yellow Catuai Yellow Bourbon Elevation 1150,Process Pulped Natural,Sub Region Patos de Minas,Varietal Yellow Catuai Yellow Bourbon,Elevation 1150,,Producer Wagner Ferrero
322,Karinga Kenya,Process Washed Sub Region Thika District Central Province Producer Members of Karinga Factory Harvest Time January 2017 Varietal SL-28 and SL-34 Elevation 1900 - 1900,Process Washed,Sub Region Thika District Central Province,Varietal SL-28 and SL-34,Elevation 1900 - 1900,Harvest Time January 2017,Producer Members of Karinga Factory
323,"Biftu Gudina, Ethiopia",Process Washed Sub Region Jimma Oromia Varietal Native Heirloom Elevation 1975 - 2200,Process Washed,Sub Region Jimma Oromia,Varietal Native Heirloom,Elevation 1975 - 2200,,
324,Ethiopia Chelbessa,Process Washed Sub Region Gedeo Yirgacheffe Producer Various Smallholders Harvest Time June 2018 Elevation 2100,Process Washed,Sub Region Gedeo Yirgacheffe,,Elevation 2100,Harvest Time June 2018,Producer Various Smallholders
325,Kenya Karatina,Process Washed Sub Region Nyeri Producer Barichu Farmers Cooperative Society Harvest Time May 2018 Elevation 1800,Process Washed,Sub Region Nyeri,,Elevation 1800,Harvest Time May 2018,Producer Barichu Farmers Cooperative Society
326,Honduras Alma Pineda,Process Washed Sub Region El Cedral Santa Barbara Producer Alma Pineda Harvest Time February 2018 - May 2018 Elevation 1400,Process Washed,Sub Region El Cedral Santa Barbara,,Elevation 1400,Harvest Time February 2018 - May 2018,Producer Alma Pineda
327,Orion Signature Espresso,Process Washed Natural/Dry Processed Varietal Heirloom Bourbon Castillo Caturra,Process Washed Natural/Dry Processed,,Varietal Heirloom Bourbon Castillo Caturra,,,
328,Decaf Union Blend,Process Washed Sub Region Cajamarca Varietal Typica Caturra Bourbon Elevation 1200,Process Washed,Sub Region Cajamarca,Varietal Typica Caturra Bourbon,Elevation 1200,,
330,Neon Espresso,Process Washed Sub Region Tarrazu Guji Producer Luis Ureña (CR) & 385 smallholders (E) Harvest Time dec-apr (CR) nov-jan (E) Varietal Catuai Mixed Ethiopian Heirloom Elevation 1800,Process Washed,Sub Region Tarrazu Guji,Varietal Catuai Mixed Ethiopian,Heirloom Elevation 1800,Harvest Time dec-apr (CR) nov-jan (E),Producer Luis Ureña (CR) & 385 smallholders (E)
333,Bleu,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
334,Sun Lamp,"['Process', 'Washed', 'Varietal', 'Changes', 'Seasonally']","['Process', 'Washed']",,"['Varietal', 'Changes', 'Seasonally']",,,
335,Hudson,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai', 'Catimor', 'Pacas', 'Typica', 'Elevation', '1300']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Caturra', 'Catuai', 'Catimor', 'Pacas', 'Typica',","Elevation', '1300']",,
337,Night Moves Dark Roast,Process Washed Sub Region Cajamarca Harvest Time October 2017 Varietal Typica Bourbon Elevation 1500,Process Washed,Sub Region Cajamarca,Varietal Typica Bourbon,Elevation 1500,Harvest Time October 2017 ,
338,Brazil Fazenda Primavera,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Mundo Novo Elevation 1000 - 1050,Process Pulped Natural,Sub Region Minais Gerais,Varietal Mundo Novo,Elevation 1000 - 1050,Harvest Time September 2017,
339,West Coast,"['Process', 'Washed', 'Varietal', 'Multiple']","['Process', 'Washed']",,"['Varietal', 'Multiple']",,,
340,"Decaf La Union, Colombia",Process Washed Sub Region Narino Harvest Time December May - July 2017 Varietal Castillo Elevation 1718 - 1730,Process Washed,Sub Region Narino,Varietal Castillo,Elevation 1718 - 1730,Harvest Time December May - July 2017,
341,Guatemala Atitlán el Grano,"Process Washed Sub Region Lake Atitlán Producer ""APROCAFE Growers Association"" Varietal Bourbon Catuaí Caturra Pache Elevation 1550",Process Washed,"Sub Region Lake Atitlán Producer ""APROCAFE Growers Association""",Varietal Bourbon Catuaí Caturra Pache,Elevation 1550,,
342,Presidio Decaf,"['Process', 'Washed', 'Varietal', 'various']","['Process', 'Washed']",,"['Varietal', 'various']",,,
344,Sumatra,Process Pulped Natural Varietal Hibrido de Timo Bourbon,Process Pulped Natural,,Varietal Hibrido de Timo Bourbon,,,
345,West End Blues,"['Process', 'Washed', 'Varietal', 'Changes', 'Seasonally']","['Process', 'Washed']",,"['Varietal', 'Changes', 'Seasonally']",,,
346,Phantom Limb Blend,Process Washed Natural/Dry Processed Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Process Washed Natural/Dry Processed,Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Varietal Ethiopian Heirloom Elevation 1700,Elevation 1700,Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,
347,Decaf Colombia Los Idolos,Process Washed Sub Region San Agustin Huila Producer Several Growers Associations in Huila Harvest Time march-june Varietal Caturra,Process Washed,Sub Region San Agustin Huila,Varietal Caturra,,Harvest Time march-june,Producer Several Growers Associations in Huila
348,House Blend,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra', 'Elevation', '1200']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra'"," 'Elevation', '1200']",,
349,02 Filter,Process Washed Sub Region San Lorenzo; Oromia Jimma Zone Gome District Producer Gabriel Alarcon; 210 Smallholder Farmers Varietal Colombia Castillo Caturra Ethiopia Heirloom Elevation 1980,Process Washed,Sub Region San Lorenzo; Oromia Jimma Zone Gome District,Varietal Colombia Castillo Caturra Ethiopia Heirloom,Elevation 1980,,Producer Gabriel Alarcon; 210 Smallholder Farmers
350,Queen City,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,Varietal Bourbon Typica,Elevation 1200,,
351,Colombia Santa Barbara Decaf,Process Washed Varietal Arabica Elevation 1400 - 2000,Process Washed,,Varietal Arabica,Elevation 1400 - 2000,,
352,No.7 House Blend,"['Process', 'Washed', 'Varietal', 'Caturra', 'Typica']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Typica']","Elevation', '2000']",,
353,Owl's Howl,Process Washed Harvest Time Seasonally,Process Washed,,,,Harvest Time Seasonally,
354,Colombia La Pradera,Process Washed Sub Region Santander Producer Hacienda La Pradera Harvest Time October 2017 Varietal Castilla caturra colombia Elevation 1750 - 1950,Process Washed,Sub Region Santander,Varietal Castilla caturra colombia ,Elevation 1750 - 1950,Harvest Time October 2017 ,Producer Hacienda La Pradera
355,"Sugarcane Decaf, Colombia","['Process', 'Washed', 'Varietal', 'Caturra', 'Castillo', 'Colombia', 'Elevation', '1525', '-', '1600']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Castillo', 'Colombia',","Elevation', '1525', '-', '1600']",,
356,Decaffeinated Colombia San Jose,Process Washed Sub Region Cauca Producer Mixed Varietal Caturra Elevation 1400,Process Washed,Sub Region Cauca,Varietal Caturra,Elevation 1400,,Producer Mixed
357,Organic Infrared,Process Washed Natural/Dry Processed Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Process Washed Natural/Dry Processed,Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Varietal Typica Caturra Bourbon Colombia Elevation 1750,Elevation 1750,Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,
358,Flatlander Signature Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
359,Novacella Decaf,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Elevation', '1000']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica',","Elevation', '1000']",,
360,Flatlander Signature Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
361,Novacella Decaf,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Elevation', '1000']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica',","Elevation', '1000']",,
362,Blacksmith Espresso,Process Washed Pulped Natural Sub Region Carmo de Minas Tarrazu Tolima Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,Process Washed Pulped Natural,Sub Region Carmo de Minas Tarrazu Tolima Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,,Elevation 1100,,
363,Bassline Espresso Blend,Process Washed Pulped Natural Sub Region Minais Gerais Sidamo Harvest Time September 2017 Varietal Yellow Bourbon Heirloom Ethiopian Elevation 1100,Process Washed Pulped Natural,,Varietal Yellow Catuai Colombia Castillo Elevation 945,Elevation 945,Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,
364,Foundation Blend,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Varietal', 'Bourbon', 'Caturra', 'Heirloom']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural']",,"['Varietal', 'Bourbon', 'Caturra', 'Heirloom']",,,
365,Binary Espresso,Process Pulped Natural Sub Region Mogiana Harvest Time 2017 Varietal Bourbon,Process Pulped Natural,Sub Region Mogiana,Varietal Bourbon,,Harvest Time 2017,
366,French Roast,Process Wet-hulled Sub Region Sumatra Java Varietal Catimor Bourbon Typica Caturra Elevation 1200 - 1500,Process Wet-hulled,Sub Region Sumatra Java,Varietal Catimor Bourbon Typica Caturra,Elevation 1200 - 1500,,
367,Jaguar Espresso Fair Trade Organic,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled', 'Varietal', 'Various']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled',",,"Varietal', 'Various']",,,
368,Decaf Colombia Planadas,Process Washed Sub Region Tolima Varietal Castillo Caturra Elevation 1450 - 1500,Process Washed,Sub Region Tolima,Varietal Castillo Caturra,Elevation 1450 - 1500,,
369,Colombia Roasters United Blend,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
370,For Haiti,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
371,Cosmopolitan,"['Process', 'Washed', 'Wet-hulled', 'Varietal', 'Caturra', 'Catuai', 'Typica', 'Heirloom', 'Elevation', '1000']","['Process', 'Washed', 'Wet-hulled']",,"['Varietal', 'Caturra', 'Catuai', 'Typica', 'Heirloom', 'Elevation', '1000']","['Elevation', '1000']",,
372,Finca La Union,Process Washed Sub Region Chirinos Varietal Caturra Typica Elevation 1800 - 1800,Process Washed,Sub Region Chirinos,Varietal Caturra Typica,Elevation 1800 - 1800,,
373,Guatemala Finca Nuevo Vinas,Process Washed Sub Region Santa Rosa Producer Keller Harvest Time December - February Varietal Caturra Catual Pacamara Elevation 1200 - 1500,Process Washed,Sub Region Santa Rosa ,Varietal Caturra Catual Pacamara,Elevation 1200 - 1500,Harvest Time December - February ,Producer Keller 
374,Vito's,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Bourbon', 'Caturra']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Bourbon', 'Caturra']",,,
375,Costa Rica La Candelilla,Process Washed Producer Sanchez Varietal Caturra Catuai Elevation 1400 - 1700,Process Washed,,Varietal Caturra Catuai,Elevation 1400 - 1700,,Producer Sanchez
376,House Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,,
376,Guatemala,Process Washed Sub Region Antigua Varietal Pache Catuai Elevation 1400 - 2100,Process Washed,Sub Region Antigua,Varietal Pache Catuai,Elevation 1400 - 2100,,
377,Sugar Tooth,"['Process', 'Washed']","['Process', 'Washed']",,,,,
377,Indonesia,Process Wet-hulled Sub Region Northern Sumatra & Aceh Varietal Crowned Garuda (Arabica) Elevation 1100 - 1300,Process Wet-hulled,Sub Region Northern Sumatra & Aceh,Varietal Crowned Garuda (Arabica),Elevation 1100 - 1300,,
378,Moka Java,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled', 'Varietal', 'Heirloom', 'Crowned', 'Garuda', '(Arabica)', 'Caturra']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled',",,"Varietal', 'Heirloom', 'Crowned', 'Garuda', '(Arabica)', 'Caturra']",,,
378,Hundred Mile,"['Process', 'Washed']","['Process', 'Washed']",,,,,
379,Jackalope Decaf,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900,Process Washed,Sub Region Huila,Varietal Caturra Colombia,Elevation 1900,,
379,Homestead,"['Process', 'Washed']","['Process', 'Washed']",,,,,
380,Hair Bender,"['Process', 'Washed']","['Process', 'Washed']",,,,,
380,PH Blend,Process Washed Sub Region Cajamarca Sidamo Harvest Time October 2017 Varietal Typica Heirloom Ethiopia Elevation 1500,Process Washed,Sub Region Cajamarca Sidamo,Varietal Typica Heirloom Ethiopia,Elevation 1500,Harvest Time October 2017,
381,Keystone Blend,"['Process', 'Washed', 'Varietal', 'Castillo', 'Caturra', 'Heirloom']","['Process', 'Washed']",,"['Varietal', 'Castillo', 'Caturra', 'Heirloom']",,,
381,Wallabout,"['Process', 'Washed']","['Process', 'Washed']",,,,,
382,Decaf Bitches Brew,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,Varietal Arabica,,,
382,Prospect,"['Process', 'Washed']","['Process', 'Washed']",,,,,
383,Crown Point,"['Process', 'Washed']","['Process', 'Washed']",,,,,
383,Santarossa Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
384,Hunky Dory Decaf,"['Process', 'Washed']","['Process', 'Washed']",,,,,
384,Mexico Sierra Sur,Process Washed Sub Region Sierra Sur Varietal Arabica Elevation 1700 - 1900,Process Washed,Sub Region Sierra Sur,Varietal Arabica,Elevation 1700 - 1900,,
385,Flor Del Sol Signature Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,,
385,Black Velvet,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra', 'Elevation', '1300']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra', 'Elevation', '1300']",", 'Elevation', '1300']",,
386,Ethiopia Kochere,Process Washed Sub Region Kochere Varietal Heirloom varietals Elevation 1800 - 2000,Process Washed,Sub Region Kochere,Varietal Heirloom varietals,Elevation 1800 - 2000,,
386,Black Cat Classic Espresso,"['Process', 'Washed']","['Process', 'Washed']",,,,,
387,Trapper Creek Decaf,"['Process', 'Washed']","['Process', 'Washed']",,,,,
387,Colombia El Meridiano,Process Washed Sub Region Tolima Producer 58 families Harvest Time December 2017 Varietal Caturra Colombia Typica Elevation 1500 - 1900,Process Washed,Sub Region Tolima,Varietal Caturra Colombia Typica,Elevation 1500 - 1900,Harvest Time December 2017 ,Producer 58 families
388,Paradigm Breakfast Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,,
388,Petunias,Process Washed Natural/Dry Processed Varietal Caturra,Process Washed Natural/Dry Processed,,Varietal Caturra,,,
389,"El Guamo, Colombia",Process Washed Sub Region Huila Producer Benedicto Yara Harvest Time Winter 2017 Varietal Caturra Elevation 1780 - 1980,Process Washed,Sub Region Huila,Varietal Caturra,Elevation 1780 - 1980,Harvest Time Winter 2017,Producer Benedicto Yara
389,Holler Mountain,"['Process', 'Washed']","['Process', 'Washed']",,,,,
390,El Diablo Dark Roast,"['Process', 'Washed']","['Process', 'Washed']",,,,,
390,Ethiopia Reko,Process Washed Sub Region Kochere Yirgacheffe Producer Reko Washing Station Harvest Time November 2017 - January 2018 Varietal Heirloom Elevation 1850 - 2100,Process Washed,Sub Region Kochere Yirgacheffe,Varietal Heirloom,Elevation 1850 - 2100,Harvest Time November 2017 - January 2018,Producer Reko Washing Station
391,Novo Decaf,Process Washed Sub Region Veracruz Harvest Time November 2017- February 2018,Process Washed,Sub Region Veracruz,,,Harvest Time November 2017-February 2018,
391,Fulton Street,"['Process', 'Washed']","['Process', 'Washed']",,,,,
392,House Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,,
392,Burundi Gacokwe,Process Washed Sub Region Rango Kayanza Harvest Time Apr-Jun 17 Varietal Bourbon Mibirizi Elevation 1650 - 1650,Process Washed,Sub Region Rango Kayanza,Varietal Bourbon Mibirizi ,Elevation 1650 - 1650,Harvest Time Apr-Jun 17,
393,Ethiopia Guji,"['Process', 'Washed']","['Process', 'Washed']",,,,,
393,Primo's,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Bourbon', 'Elevation', '1200']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Bourbon'","['Elevation', '1200']",,
394,Thriller,"['Process', 'Washed', 'Varietal', 'Bourbon', 'SL28', 'SL34', 'Linie', 'S795', 'Jember']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'SL28', 'SL34', 'Linie', 'S795', 'Jember']",,,
394,Founder's Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,,
395,La Tortuga Honduras,Process Washed Sub Region Mogola San Jose Marcala Producer Fabio Antonio Caballero Harvest Time January - February 2018 Varietal Catuai Bourbon,Process Washed,Sub Region Mogola San Jose Marcala,Varietal Catuai Bourbon,,Harvest Time January - February 2018,Producer Fabio Antonio Caballero
396,"El Limonar, Guatemala",Process Washed Sub Region Huehuetenango Producer Mendez Harvest Time October - March Varietal Arabica Elevation 1524 - 1850,Process Washed,Sub Region Huehuetenango ,Varietal Arabica,Elevation 1524 - 1850,Harvest Time October - March,Producer Mendez
397,"Chelelektu, Ethiopia",Process Washed Sub Region Yirgacheffe Producer Smallholder Farms Varietal Heirloom,Process Washed,Sub Region Yirgacheffe,,Elevation 1700 - 2300,Harvest Time Nov-Jan,Producer YCFCU
398,"Yosotatu Reserva, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica,Process Washed,Sub Region Oaxaca,Varietal Bourbon & Typica,,,
399,Kenya AA Ruthagati,"Process Washed Sub Region Nyeri Producer ""Rutuma Farmers Coop Society"" Harvest Time March 2019 Varietal SL 28 SL 34 Elevation 1650 - 1700",Process Washed,Sub Region Nyeri,Varietal SL 28 SL 34,Elevation 1650 - 1700,Harvest Time March 2019,"Producer ""Rutuma Farmers Coop Society"" Harvest Time March 2019 Varietal SL 28 SL 34 Elevation 1650 - 1700"
400,Snow Leopard,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
401,Ethiopia Wuri,Process Washed Sub Region Gedeb Producer Small Producers Harvest Time January 2018 Varietal Heirloom Elevation 1900 - 2100,Process Washed,Sub Region Gedeb,Varietal Heirloom,Elevation 1900 - 2100,Harvest Time January 2018,Producer Small Producers
402,Kenya Kiamugumo,Process Washed,Process Washed,Sub Region Kiamugumo,Varietal Sl 28 Sl 34,Elevation 1500,,
403,Ethiopia Kochere,Process Natural/Dry Processed Sub Region Kochere Varietal Heirloom Elevation 1800 - 1900,Process Natural/Dry Processed,Sub Region Kochere,Varietal Heirloom,Elevation 1800 - 1900,,
404,Guatemala El Olvido,Process Washed Sub Region Huehuetenango Producer Danny Perez Varietal Pacamara Elevation 1700 - 1750,Process Washed,Sub Region Huehuetenango ,Varietal Pacamara,Elevation 1700 - 1750,,Producer Danny Perez
405,Kenya Ngewa Komothai,Process Washed Sub Region Kiambu Harvest Time Oct - Jan 2018 Varietal SL-28 & SL-34 Elevation 1850 - 2100,Process Washed,Sub Region Kiambu,Varietal SL-28 & SL-34,Elevation 1850 - 2100,Harvest Time Oct - Jan 2018,
406,"Guji Uraga, Ethiopia",Process Washed Sub Region Oromia Varietal Indigenous Heirloom Varieties Elevation 1650 - 1800,Process Washed,Sub Region Oromia,Varietal Indigenous Heirloom Varieties,Elevation 1650 - 1800,,
407,Stella Cometa Espresso Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Yellow', 'Catuai', 'Yellow', 'Bourbon', 'Caturra', 'Pache', 'Pacas', 'Elevation', '1150']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Yellow', 'Catuai', 'Yellow', 'Bourbon', 'Caturra', 'Pache', 'Pacas'",", 'Elevation', '1150']",,
408,Colombia,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900,Process Washed,Sub Region Huila,Varietal Caturra Colombia,Elevation 1900,,
409,Kenya Mount Kenya,Process Washed Sub Region Kirinyaga County Harvest Time March 2018 Varietal SL-28 SL-24 Ruiri-11 Elevation 1700 - 1800,Process Washed,Sub Region Kirinyaga County,Varietal SL-28 SL-24 Ruiri-11,Elevation 1700 - 1800,Harvest Time March 2018,
410,Costa Rica Francisco Ruiz,Process Honey Sub Region Tambor Producer Francisco Ruiz Bolaños & Jaime Ruiz Carmona Varietal Caturra Catuai Elevation 1600,Process Honey,Sub Region Tambor ,Varietal Caturra Catuai,Elevation 1600,,Producer Francisco Ruiz Bolaños & Jaime Ruiz Carmona
412,Bella Luna Decaf,Process Washed Sub Region Chiapas Varietal Various,Process Washed,Sub Region Chiapas,Varietal Various,,,
413,Colombia Cauca,Process Washed Sub Region Cauca Harvest Time Jul-Sep 17 Varietal Castillo Elevation 1200 - 2100,Process Washed,Sub Region Cauca ,Varietal Castillo,Elevation 1200 - 2100,Harvest Time Jul-Sep 17 ,
414,Peru El Pino,Process Washed Sub Region Jaen Cajamarca Producer Miguel Garcia Harvest Time Aug-Oct 17 Varietal Caturra Catimor Typica Elevation 1700 - 1700,Process Washed,Sub Region Jaen Cajamarca,Varietal Caturra Catimor Typica,Elevation 1700 - 1700,Harvest Time Aug-Oct 17,Producer Miguel Garcia
415,Itzamná Guatemala,Process Washed Sub Region Huehuetenango Guatemala Producer Mauricio Rosales Harvest Time January - April 2018 Varietal Caturra Bourbon,Process Washed,Sub Region Huehuetenango Guatemala,Varietal Caturra Bourbon,,Harvest Time January - April 2018,Producer Mauricio Rosales
416,El Salvador Santa Rosa Washed,Process Washed Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850,Process Washed,Sub Region Chalatenango,Varietal Pacamara ,Elevation 1800 - 1850,,Producer Jorge Raul Rivera
417,"El Molino, El Salvador",Process Natural/Dry Processed Producer The Salaverria family Varietal Bourbon,Process Natural/Dry Processed,,Varietal Bourbon,,,Producer The Salaverria family
418,"Capucas, Honduras",Process Washed Sub Region Copan Producer Las Capucas Varietal Caturra Bourbon Catuai Pacas,Process Washed,Sub Region Copan,Varietal Caturra Bourbon Catuai Pacas,,,Producer Las Capucas
419,Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500,Process Washed,Sub Region Sidamo Guji Zone,Varietal Local Heirloom Varieties,Elevation 6000 - 6500,,Producer Ato Haile Gebre
420,"Miramundo, Guatemala",Process Washed Sub Region Santa Rosa Varietal Bourbon & Typica,Process Washed,Sub Region Santa Rosa,Varietal Bourbon & Typica,,,
421,"Pulcal, Guatemala",Process Washed Sub Region Antigua Varietal Bourbon & Typica,Process Washed,Sub Region Antigua,Varietal Bourbon & Typica,,,
422,Wildcat,"['Process', 'Washed', 'Varietal', 'Heirloom']","['Process', 'Washed']",,"['Varietal', 'Heirloom']",,,
423,Color Wheel,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,,
423,Kenya Gathaithi,Process Washed Sub Region Nyeri Harvest Time January 2018 Varietal SL-28 & SL-32 Elevation 1700 - 1700,Process Washed,Sub Region Nyeri,Varietal SL-28 & SL-32,Elevation 1700 - 1700,Harvest Time January 2018,
424,Guatemala El Zapote Caturra,Process Washed Sub Region Acatenango Producer Julio Perez Harvest Time 2018,Process Washed,Sub Region Acatenango,,,Harvest Time 2018,Producer Julio Perez
424,Color Wheel,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,,
425,Quantum Espresso,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,,
425,Decaf Caldas,Process Washed Sub Region Caldas Harvest Time January – February 2018 Elevation 1200,Process Washed,Sub Region Caldas,,Elevation 1200,Harvest Time January – February 2018,
426,Honduras Gerard Trejo,Process Washed Sub Region Santa Barbara Producer Gerardo Trejo Harvest Time March 2018 Elevation 1500,Process Washed,Sub Region Santa Barbara ,,Elevation 1500,Harvest Time March 2018,Producer Gerardo Trejo
426,John Brown Signature Blend,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,,
427,Organic Guatemala Adipy,"Process Washed Sub Region ""Qejnhah Huehuetenango"" Producer CODECH Cooperative ADIPY Association Harvest Time January 2018 - April 2018 Elevation 1750",Process Washed,"Sub Region ""Qejnhah Huehuetenango""",,Elevation 1750,Harvest Time January 2018 - April 2018,Producer CODECH Cooperative ADIPY Association
428,Honduras Nelson Ramirez,Process Washed Sub Region El Cielito Santa Barbara Producer Nelson Ramirez Elevation 1450,Process Washed,Sub Region El Cielito Santa Barbara,,Elevation 1450,,Producer Nelson Ramirez
429,Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500,Process Washed,Sub Region Sidamo Guji Zone,Varietal Local Heirloom Varieties,Elevation 6000 - 6500,,Producer Ato Haile Gebre
430,El Salvador La Montanita,Process Honey Sub Region El Tùnel Chaletenango Producer Antonio René Aguilar Varietal Pacamara Elevation 1350 - 1700,Process Honey,Sub Region El Tùnel Chaletenango,Varietal Pacamara,Elevation 1350 - 1700,,Producer Antonio René Aguilar
431,Bolivia Inquisivi,Process Washed Sub Region South Yungas La Paz Producer Various Small Holders Harvest Time September Varietal Caturra Typica Elevation 1700 - 1900,Process Washed,Sub Region South Yungas La Paz,Varietal Caturra Typica,Elevation 1700 - 1900,Harvest Time September,Producer Various Small Holders
432,Costa Rica Naranjo,Process Washed Sub Region Cañuela Naranjo West Valley Varietal Caturra Catuai Elevation 1000 - 1400,Process Washed,Sub Region Cañuela Naranjo West Valley,Varietal Caturra Catuai,Elevation 1000 - 1400,,
433,El Salvador Natamaya,Process Washed Sub Region Sonsonate Department Producer Hermann and Nena Mendez Varietal Bourbon Elevation 1400 - 1550,Process Washed,Sub Region Sonsonate Department,,Elevation 1400 - 1550,Varietal Bourbon,Producer Hermann and Nena Mendez
434,Costa Rica La Bandera,Process Honey Sub Region Tarrazu Producer Diego Hidalgo Harvest Time March 2018 Varietal Caturra Elevation null - 1900,Process Honey,Sub Region Tarrazu,Varietal Caturra,Elevation null - 1900,Harvest Time March 2018,Producer Diego Hidalgo
435,Autumn Blend,"['Process', 'Washed', 'Varietal', 'Heirloom', 'Caturra', 'Bourbon', 'Typica']","['Process', 'Washed']",,"['Varietal', 'Heirloom', 'Caturra', 'Bourbon', 'Typica']",,,
